exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
44;AnyaSearch;2467;78;54;67;120;(44,583);(658,674);651.69343414;626.6352340913652;Milan_1_1024.map
45;AnyaSearch;7951;7947;5588;6077;11359;(750,970);(1,35);1415.31493377;1318.4309836423015;Milan_1_1024.map
46;AnyaSearch;8395;8392;5967;6612;12203;(972,685);(313,87);1387.09162902;1319.1104309587784;Milan_1_1024.map
47;AnyaSearch;2835;942;615;705;1295;(760,782);(754,120);697.62236633;680.2597530537989;Milan_1_1024.map
48;AnyaSearch;2642;879;485;546;1024;(71,133);(243,919);894.74220733;869.7613581344151;Milan_1_1024.map
49;AnyaSearch;15301;6859;4728;5102;9590;(443,964);(44,52);1241.12193298;1174.578340095455;Milan_1_1024.map
50;AnyaSearch;5602;5600;3736;4132;7657;(860,956);(453,30);1217.77077789;1151.4505985830376;Milan_1_1024.map
51;AnyaSearch;3473;223;174;207;380;(296,695);(938,90);911.93015746;884.6503343438585;Milan_1_1024.map
52;AnyaSearch;2356;305;383;400;782;(30,40);(599,978);1328.76868591;1230.6102760060587;Milan_1_1024.map
53;AnyaSearch;3726;119;77;102;178;(130,160);(753,905);1003.05504913;978.217596606983;Milan_1_1024.map
54;AnyaSearch;2120;34;39;48;86;(318,397);(651,473);364.48023071;341.5625857730908;Milan_1_1024.map
55;AnyaSearch;2889;92;144;192;335;(43,233);(696,617);812.05800781;757.5387778853304;Milan_1_1024.map
56;AnyaSearch;3944;132;164;181;344;(470,169);(188,328);362.50461731;334.1570233173721;Milan_1_1024.map
57;AnyaSearch;2061;71;20;30;49;(39,988);(450,885);453.66399689;423.70980635335786;Milan_1_1024.map
58;AnyaSearch;1063;1062;1075;1121;2174;(78,104);(47,36);726.31074981;674.4684745125107;Milan_1_1024.map
59;AnyaSearch;3400;53;36;51;86;(76,415);(770,699);811.63665161;749.9922577923203;Milan_1_1024.map
60;AnyaSearch;3415;27;21;24;44;(985,852);(943,832);50.28427124;46.51881339845203;Milan_1_1024.map
61;AnyaSearch;1050;1049;811;931;1700;(693,730);(490,234);645.53109588;613.2114790784816;Milan_1_1024.map
62;AnyaSearch;2916;45;50;65;114;(316,754);(836,667);556.62236633;531.8991636683271;Milan_1_1024.map
63;AnyaSearch;1379;1379;1303;1466;2713;(253,1020);(761,149);1113.30274047;1043.3593738636255;Milan_1_1024.map
64;AnyaSearch;5088;5087;4055;4515;8296;(998,883);(524,48);1131.40620422;1075.441994974447;Milan_1_1024.map
65;AnyaSearch;4752;421;388;422;809;(959,12);(26,872);1331.40028686;1278.022126958765;Milan_1_1024.map
66;AnyaSearch;2605;41;20;32;51;(645,530);(113,876);675.31789245;634.6179953326252;Milan_1_1024.map
67;AnyaSearch;1794;580;611;661;1263;(592,167);(89,874);1210.0945877;1125.873207474454;Milan_1_1024.map
68;AnyaSearch;2964;93;100;123;222;(327,765);(357,505);273.59797974;266.5914718979026;Milan_1_1024.map
69;AnyaSearch;2760;928;1184;1373;2516;(962,689);(41,114);1400.77792052;1321.825327551893;Milan_1_1024.map
70;AnyaSearch;3200;98;167;198;361;(343,969);(611,298);782.00923462;725.981364649974;Milan_1_1024.map
71;AnyaSearch;3152;24;21;29;49;(655,638);(488,538);208.4213562;194.65096968677037;Milan_1_1024.map
72;AnyaSearch;6472;6464;5555;6130;11337;(421,828);(591,180);1039.52604522;967.6051750687404;Milan_1_1024.map
73;AnyaSearch;3665;229;325;356;678;(240,215);(345,904);893.75440063;841.3745268775588;Milan_1_1024.map
74;AnyaSearch;2289;18;2;7;8;(621,739);(585,761);45.11269836;42.190046219457976;Milan_1_1024.map
75;AnyaSearch;3072;49;18;31;48;(324,944);(110,374);658.64170227;608.8480927127882;Milan_1_1024.map
76;AnyaSearch;2858;45;32;55;86;(920,552);(12,391);988.87214966;932.8941831908562;Milan_1_1024.map
77;AnyaSearch;2282;317;295;326;620;(954,95);(298,724);947.00122527;913.6094257214535;Milan_1_1024.map
78;AnyaSearch;4633;828;801;924;1699;(143,852);(835,55);1111.75353393;1069.772610147477;Milan_1_1024.map
79;AnyaSearch;2539;20;20;25;44;(635,420);(647,380);44.97056274;41.7612260356422;Milan_1_1024.map
80;AnyaSearch;3337;26;36;44;79;(901,398);(987,492);142.50966797;132.93901056053375;Milan_1_1024.map
81;AnyaSearch;2357;2357;1972;2207;4078;(520,959);(446,24);1077.18080749;1013.3791000666372;Milan_1_1024.map
82;AnyaSearch;3231;462;464;507;960;(378,100);(194,579);716.19300079;676.978586019402;Milan_1_1024.map
83;AnyaSearch;2403;83;24;28;51;(185,995);(121,796);226.09545441;211.71949381290858;Milan_1_1024.map
84;AnyaSearch;2009;2009;1848;2021;3808;(10,42);(928,881);1452.95663604;1403.3920195126532;Milan_1_1024.map
85;AnyaSearch;2973;186;152;201;346;(289,804);(927,520);772.03867187;715.4038140987606;Milan_1_1024.map
86;AnyaSearch;2934;46;19;30;48;(219,609);(422,817);304.38686828;295.6029243451108;Milan_1_1024.map
87;AnyaSearch;2945;23;21;27;47;(783,711);(772,629);86.55634918;82.73451516749222;Milan_1_1024.map
88;AnyaSearch;3342;102;246;263;508;(393,193);(29,178);433.17366485;402.4939780212237;Milan_1_1024.map
89;AnyaSearch;3004;47;35;55;89;(696,511);(240,940);633.6976181;626.0806657292653;Milan_1_1024.map
90;AnyaSearch;3988;64;16;29;44;(40,904);(281,459);548.34018707;515.9707144886453;Milan_1_1024.map
91;AnyaSearch;6558;39;28;41;68;(461,492);(773,387);355.49242401;329.34032763029666;Milan_1_1024.map
92;AnyaSearch;2467;814;438;476;908;(267,104);(154,724);766.39401092;714.7833103092785;Milan_1_1024.map
93;AnyaSearch;1215;1216;1114;1186;2284;(572,419);(435,84);548.72496338;514.2408798114111;Milan_1_1024.map
94;AnyaSearch;3304;208;85;108;192;(238,951);(721,747);567.49956665;534.2420222506258;Milan_1_1024.map
95;AnyaSearch;2946;413;213;263;475;(15,1017);(895,122);1281.7678192;1256.8911478540326;Milan_1_1024.map
96;AnyaSearch;2443;157;62;85;146;(107,1010);(411,499);636.92092285;596.4824922365655;Milan_1_1024.map
97;AnyaSearch;2841;182;155;185;339;(575,644);(795,268);467.12698364;439.8389720349538;Milan_1_1024.map
98;AnyaSearch;7752;7752;4822;5276;9806;(849,1021);(536,15);1267.19805145;1210.534252773528;Milan_1_1024.map
99;AnyaSearch;2733;372;178;229;406;(87,1010);(997,2);1403.093721;1364.285907896301;Milan_1_1024.map
100;AnyaSearch;1182;1182;1224;1297;2503;(393,451);(944,143);710.33513641;688.4465794469706;Milan_1_1024.map
101;AnyaSearch;3444;110;17;28;44;(124,572);(525,518);423.36753235;414.7397283137723;Milan_1_1024.map
102;AnyaSearch;8060;8060;5291;5778;10814;(892,1022);(284,12);1404.76067657;1325.5656424575222;Milan_1_1024.map
103;AnyaSearch;2381;18;3;6;8;(837,451);(701,454);137.24264069;136.03308421115798;Milan_1_1024.map
104;AnyaSearch;1210;1210;1213;1319;2500;(719,153);(283,551);794.64884491;747.1077210971969;Milan_1_1024.map
105;AnyaSearch;2355;18;2;4;5;(929,840);(962,839);33.41421356;33.015148038438355;Milan_1_1024.map
106;AnyaSearch;2183;2184;1489;1661;3108;(397,67);(1006,947);1261.70180205;1228.2230087993162;Milan_1_1024.map
107;AnyaSearch;3166;102;108;125;232;(788,909);(87,399);912.24891662;867.2288226716887;Milan_1_1024.map
108;AnyaSearch;2195;34;27;31;57;(430,163);(464,99);88.62741699;84.79636303027857;Milan_1_1024.map
