exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
157;AStar;111206;111205;73844;583784;243219;(21,130);(201,958);1015.73715667;1014.3229365348816;Milan_1_1024.map;
158;AStar;503329;503323;247222;1960200;720766;(5,808);(703,76);1183.04790649;1179.8763210773468;Milan_1_1024.map;
159;AStar;7302;7300;7840;60098;23521;(26,7);(765,998);1422.62864227;1420.6286281347275;Milan_1_1024.map;
160;AStar;14578;14577;12112;93381;38456;(106,71);(661,843);1075.40324554;1073.160591840744;Milan_1_1024.map;
161;AStar;2154;270;368;2937;1718;(234,813);(112,446);417.53405456;417.534051656723;Milan_1_1024.map;
162;AStar;3650;114;131;1041;748;(538,696);(649,826);175.97770538;175.97770273685455;Milan_1_1024.map;
163;AStar;60614;60614;43228;340415;120261;(322,94);(813,916);1194.07229308;1191.4864927530289;Milan_1_1024.map;
164;AStar;577708;577706;317989;2517143;1035685;(27,902);(22,1);1324.54538116;1321.373794913292;Milan_1_1024.map;
165;AStar;22466;22464;21692;171386;65715;(730,629);(835,157);517.97770538;517.1492756605148;Milan_1_1024.map;
166;AStar;481909;481907;217379;1716818;631281;(1017,974);(85,34);1459.16983947;1456.5840336084366;Milan_1_1024.map;
167;AStar;5591;5589;5863;45960;19366;(1013,366);(61,903);1174.43268279;1174.4326699972153;Milan_1_1024.map;
168;AStar;5220;5219;4603;36534;15591;(106,280);(908,828);1028.98903198;1028.9890189170837;Milan_1_1024.map;
169;AStar;374370;181108;111317;884959;335480;(16,999);(889,4);1381.21147002;1380.039877295494;Milan_1_1024.map;
170;AStar;3756;116;181;1441;850;(164,662);(102,842);205.68124084;205.68123936653137;Milan_1_1024.map;
171;AStar;329286;329285;174174;1385274;521213;(25,1016);(982,147);1366.52517852;1363.353585600853;Milan_1_1024.map;
172;AStar;376411;376409;197759;1563267;576448;(300,556);(972,101);968.59206237;966.0062638521194;Milan_1_1024.map;
173;AStar;131863;131861;79676;629686;237700;(1016,200);(83,1006);1347.86118163;1344.6895911693573;Milan_1_1024.map;
174;AStar;2244;35;60;473;290;(574,707);(633,683);68.94112549;68.94112491607666;Milan_1_1024.map;
175;AStar;3319;405;461;3503;2398;(897,111);(567,571);596.69047546;596.6904675960541;Milan_1_1024.map;
176;AStar;247828;247827;148531;1176991;499253;(37,791);(73,85);918.53823852;915.3666546344757;Milan_1_1024.map;
177;AStar;56060;56059;33029;261337;100431;(990,470);(452,893);737.27121124;734.9280558824539;Milan_1_1024.map;
178;AStar;1365;1365;924;6965;4554;(957,7);(397,913);1137.95959472;1137.959581375122;Milan_1_1024.map;
179;AStar;99355;99354;65607;520240;223885;(155,638);(104,113);639.73715667;639.7371500730515;Milan_1_1024.map;
180;AStar;3715;106;258;1903;903;(244,1004);(138,973);118.84062042;118.84061968326569;Milan_1_1024.map;
181;AStar;8329;8329;6583;50657;22399;(942,250);(593,937);868.83975372;868.8397432565689;Milan_1_1024.map;
182;AStar;240754;240753;140747;1114104;420159;(64,623);(856,25);1112.27835388;1110.2783420085907;Milan_1_1024.map;
183;AStar;54377;54375;36200;283303;123837;(896,569);(926,62);584.04372253;583.2152910232544;Milan_1_1024.map;
184;AStar;2097;8;17;129;98;(638,580);(652,596);21.79898987;21.79898953437805;Milan_1_1024.map;
185;AStar;612130;612130;292643;2313536;858262;(1012,894);(6,44);1467.27034453;1465.2703253030777;Milan_1_1024.map;
186;AStar;9074;9072;6871;54692;25720;(740,796);(24,790);727.59797974;726.7695519924164;Milan_1_1024.map;
187;AStar;701427;338755;197902;1567386;581715;(335,68);(974,1023);1416.58405303;1412.8266742229462;Milan_1_1024.map;
188;AStar;4659;4658;4299;33892;14341;(684,343);(225,1000);847.12402496;847.1240140199661;Milan_1_1024.map;
189;AStar;3400;107;182;1449;744;(273,740);(454,733);183.89949493;183.89949476718903;Milan_1_1024.map;
190;AStar;2054;615;734;5865;3028;(773,817);(40,772);751.63961029;751.6396092176437;Milan_1_1024.map;
191;AStar;3456;427;499;3892;2547;(728,297);(425,795);623.50670929;623.5067020654678;Milan_1_1024.map;
192;AStar;33350;33349;24969;195029;78079;(982,227);(165,775);1096.45706939;1094.4570552110672;Milan_1_1024.map;
193;AStar;167190;167189;117035;928189;350812;(35,18);(882,955);1432.69465942;1430.108857035637;Milan_1_1024.map;
194;AStar;126731;126729;76852;603084;223197;(975,491);(434,86);798.28131256;795.6955199241638;Milan_1_1024.map;
195;AStar;76650;76648;44103;349624;132507;(764,166);(34,1019);1223.17489013;1219.417513012886;Milan_1_1024.map;
196;AStar;2510;154;194;1545;1136;(576,707);(755,900);267.1442276;267.1442233324051;Milan_1_1024.map;
197;AStar;116014;116013;79313;620020;222419;(299,35);(571,315);754.18795013;751.0163685083389;Milan_1_1024.map;
198;AStar;5151;5150;4713;37098;15626;(232,372);(515,339);305.78174591;305.78174459934235;Milan_1_1024.map;
199;AStar;226240;226239;107257;852619;323040;(26,848);(930,51);1270.44696807;1270.4469505548477;Milan_1_1024.map;
