exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
22;AStar;2151;2151;5447;37735;16709;(458,384);(28,510);493.46298675;482.7766922712326;random512-20-0.map;
23;AStar;4166;4165;6818;46312;20181;(314,63);(336,398);363.7106781;349.6690467596054;random512-20-0.map;
24;AStar;2015;2015;4275;29161;12860;(343,20);(363,282);286.56854248;274.18376553058624;random512-20-0.map;
25;AStar;13812;13812;23942;164478;69841;(37,184);(490,475);605.16861419;574.7077125310898;random512-20-0.map;
26;AStar;18249;18248;25807;175577;72453;(33,488);(481,119);652.97979736;610.803165435791;random512-20-0.map;
27;AStar;7738;7737;11519;77902;32383;(161,252);(269,54);262.55129852;248.2497808933258;random512-20-0.map;
28;AStar;2584;813;2218;15308;6957;(75,452);(2,130);361.65180359;352.82337474823;random512-20-0.map;
29;AStar;8518;8517;12965;87577;38251;(20,86);(484,119);505.65180359;484.2964633703232;random512-20-0.map;
30;AStar;5320;5319;8698;59364;25425;(52,292);(446,326);426.0243866;411.39696860313416;random512-20-0.map;
31;AStar;2474;331;748;5228;2302;(218,295);(206,384);98.21320343;94.55634891986847;random512-20-0.map;
32;AStar;4400;4400;7013;47876;20070;(202,204);(408,397);322.26197662;296.48736917972565;random512-20-0.map;
33;AStar;24473;24472;29383;198725;82640;(3,0);(463,476);748.54833984;691.727045416832;random512-20-0.map;
34;AStar;12253;12249;15401;103878;42912;(112,3);(430,283);482.60007171;448.0386657714844;random512-20-0.map;
