exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
77;AnyaSearch;2697;870;2061;2285;4345;(954,95);(298,724);947.00122527;913.6094257214535;Milan_1_1024.map
78;AnyaSearch;3656;3656;6767;7268;13887;(143,852);(835,55);1111.75353393;1069.772610147477;Milan_1_1024.map
79;AnyaSearch;2070;32;43;92;134;(635,420);(647,380);44.97056274;41.7612260356422;Milan_1_1024.map
80;AnyaSearch;2108;64;158;211;368;(901,398);(987,492);142.50966797;132.93901056053375;Milan_1_1024.map
81;AnyaSearch;8943;8943;15693;17173;32420;(520,959);(446,24);1077.18080749;1013.3791000666372;Milan_1_1024.map
82;AnyaSearch;1523;1523;3184;3408;6574;(378,100);(194,579);716.19300079;676.978586019402;Milan_1_1024.map
83;AnyaSearch;2394;74;260;272;531;(185,995);(121,796);226.09545441;211.71949381290858;Milan_1_1024.map
84;AnyaSearch;8594;8594;14888;15753;30253;(10,42);(928,881);1452.95663604;1403.3920195126532;Milan_1_1024.map
85;AnyaSearch;1853;600;1246;1436;2672;(289,804);(927,520);772.03867187;715.4038140987606;Milan_1_1024.map
86;AnyaSearch;2594;82;266;291;556;(219,609);(422,817);304.38686828;295.6029243451108;Milan_1_1024.map
87;AnyaSearch;2581;40;85;120;204;(783,711);(772,629);86.55634918;82.73451516749222;Milan_1_1024.map
88;AnyaSearch;1626;518;1154;1248;2401;(393,193);(29,178);433.17366485;402.4939780212237;Milan_1_1024.map
89;AnyaSearch;2362;151;432;543;974;(696,511);(240,940);633.6976181;626.0806657292653;Milan_1_1024.map
90;AnyaSearch;2878;180;565;628;1192;(40,904);(281,459);548.34018707;515.9707144886453;Milan_1_1024.map
91;AnyaSearch;3288;51;122;169;290;(461,492);(773,387);355.49242401;329.34032763029666;Milan_1_1024.map
92;AnyaSearch;1586;1586;3482;3632;7096;(267,104);(154,724);766.39401092;714.7833103092785;Milan_1_1024.map
93;AnyaSearch;3439;3439;6280;6649;12851;(572,419);(435,84);548.72496338;514.2408798114111;Milan_1_1024.map
94;AnyaSearch;3309;211;570;655;1224;(238,951);(721,747);567.49956665;534.2420222506258;Milan_1_1024.map
95;AnyaSearch;2693;852;2238;2559;4796;(15,1017);(895,122);1281.7678192;1256.8911478540326;Milan_1_1024.map
96;AnyaSearch;2890;180;538;687;1224;(107,1010);(411,499);636.92092285;596.4824922365655;Milan_1_1024.map
97;AnyaSearch;2510;302;977;1198;2173;(575,644);(795,268);467.12698364;439.8389720349538;Milan_1_1024.map
98;AnyaSearch;23022;23022;40806;43507;82636;(849,1021);(536,15);1267.19805145;1210.534252773528;Milan_1_1024.map
99;AnyaSearch;1599;509;2099;2353;4451;(87,1010);(997,2);1403.093721;1364.285907896301;Milan_1_1024.map
